Product,Price
Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00
Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00
Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00
Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
P47 Wireless Headset - White,GH₵ 29.47
Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00
Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74
C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00
Smart Bluetooth watches for ios and Android bands,GH₵ 30.00
"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00
Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 33.00
Wireless Bluetooth Earphones - White,GH₵ 45.00
TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 58.00
F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00
IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00
New I5 Smartwatch - Pink,GH₵ 47.00
Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00
Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00
Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 542.71
M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 64.17
Heart Rate Sport Bracelet Smart Watch - Black,GH₵ 32.00
Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 20.46
V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 34.00
Bluetooth Wireless  Headphone Stereo In-ear Headphone LED digital display,GH₵ 41.00
116 Plus Waterproof Smart Watch - Black,GH₵ 31.00
Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00
ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00
Color screen smart watch heart rate sport bracelet,GH₵ 33.00
Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00
TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98
Color Screen Smart Bracelet Waterproof Bracelet,GH₵ 33.00
Pro 6 Bluetooth Earphone - White,GH₵ 49.00
TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00
"GT20 1.69 inch TFT Screen IP67 Waterproof Smart Watch, Style:Steel Strap(Black)",GH₵ 121.00
2Pcs Portable Speaker High-Volume Subwoofer USB-Black,GH₵ 35.00
